Census Year,Ward,Category,SubCategory,Characteristic,SubCharacteristic,Value
2021,Barrhaven East,Demographics,Age,Age groups of the population,0 to 14 years,9540
2021,Barrhaven East,Demographics,Age,Age groups of the population,0 to 4 years,2275
2021,Barrhaven East,Demographics,Age,Age groups of the population,5 to 9 years,3315
2021,Barrhaven East,Demographics,Age,Age groups of the population,10 to 14 years,3945
2021,Barrhaven East,Demographics,Age,Age groups of the population,15 to 64 years,35870
2021,Barrhaven East,Demographics,Age,Age groups of the population,15 to 19 years,4360
2021,Barrhaven East,Demographics,Age,Age groups of the population,20 to 24 years,3800
2021,Barrhaven East,Demographics,Age,Age groups of the population,25 to 29 years,3090
2021,Barrhaven East,Demographics,Age,Age groups of the population,30 to 34 years,3010
2021,Barrhaven East,Demographics,Age,Age groups of the population,35 to 39 years,3160
2021,Barrhaven East,Demographics,Age,Age groups of the population,40 to 44 years,3580
2021,Barrhaven East,Demographics,Age,Age groups of the population,45 to 49 years,4245
2021,Barrhaven East,Demographics,Age,Age groups of the population,50 to 54 years,4250
2021,Barrhaven East,Demographics,Age,Age groups of the population,55 to 59 years,3775
2021,Barrhaven East,Demographics,Age,Age groups of the population,60 to 64 years,2600
2021,Barrhaven East,Demographics,Age,Age groups of the population,65 years and over,4950
2021,Barrhaven East,Demographics,Age,Age groups of the population,65 to 69 years,1720
2021,Barrhaven East,Demographics,Age,Age groups of the population,70 to 74 years,1470
2021,Barrhaven East,Demographics,Age,Age groups of the population,75 to 79 years,895
2021,Barrhaven East,Demographics,Age,Age groups of the population,80 to 84 years,450
2021,Barrhaven East,Demographics,Age,Age groups of the population,85 years and over,410
2021,Barrhaven East,Demographics,Age,Age groups of the population,85 to 89 years,265
2021,Barrhaven East,Demographics,Age,Age groups of the population,90 to 94 years,110
2021,Barrhaven East,Demographics,Age,Age groups of the population,95 to 99 years,40
2021,Barrhaven East,Demographics,Age,Age groups of the population,100 years and over,0
2021,Barrhaven East,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,18.9
2021,Barrhaven East,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,71.2
2021,Barrhaven East,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,9.8
2021,Barrhaven East,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,0.8
2021,Barrhaven East,Demographics,Age,Average age of the population, ,37.1
2021,Barrhaven East,Demographics,Age,Median age of the population, ,37.2
2021,Kanata South,Demographics,Age,Age groups of the population,0 to 14 years,9445
2021,Kanata South,Demographics,Age,Age groups of the population,0 to 4 years,2800
2021,Kanata South,Demographics,Age,Age groups of the population,5 to 9 years,3365
2021,Kanata South,Demographics,Age,Age groups of the population,10 to 14 years,3275
2021,Kanata South,Demographics,Age,Age groups of the population,15 to 64 years,32710
2021,Kanata South,Demographics,Age,Age groups of the population,15 to 19 years,3030
2021,Kanata South,Demographics,Age,Age groups of the population,20 to 24 years,2590
2021,Kanata South,Demographics,Age,Age groups of the population,25 to 29 years,2760
2021,Kanata South,Demographics,Age,Age groups of the population,30 to 34 years,3375
2021,Kanata South,Demographics,Age,Age groups of the population,35 to 39 years,3745
2021,Kanata South,Demographics,Age,Age groups of the population,40 to 44 years,3680
2021,Kanata South,Demographics,Age,Age groups of the population,45 to 49 years,3320
2021,Kanata South,Demographics,Age,Age groups of the population,50 to 54 years,3360
2021,Kanata South,Demographics,Age,Age groups of the population,55 to 59 years,3580
2021,Kanata South,Demographics,Age,Age groups of the population,60 to 64 years,3265
2021,Kanata South,Demographics,Age,Age groups of the population,65 years and over,6955
2021,Kanata South,Demographics,Age,Age groups of the population,65 to 69 years,2490
2021,Kanata South,Demographics,Age,Age groups of the population,70 to 74 years,2050
2021,Kanata South,Demographics,Age,Age groups of the population,75 to 79 years,1155
2021,Kanata South,Demographics,Age,Age groups of the population,80 to 84 years,775
2021,Kanata South,Demographics,Age,Age groups of the population,85 years and over,490
2021,Kanata South,Demographics,Age,Age groups of the population,85 to 89 years,350
2021,Kanata South,Demographics,Age,Age groups of the population,90 to 94 years,120
2021,Kanata South,Demographics,Age,Age groups of the population,95 to 99 years,20
2021,Kanata South,Demographics,Age,Age groups of the population,100 years and over,0
2021,Kanata South,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,19.2
2021,Kanata South,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,66.6
2021,Kanata South,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,14.2
2021,Kanata South,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,1
2021,Kanata South,Demographics,Age,Average age of the population, ,39.2
2021,Kanata South,Demographics,Age,Median age of the population, ,39.6
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,0 to 14 years,7660
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,0 to 4 years,2385
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,5 to 9 years,2480
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,10 to 14 years,2795
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,15 to 64 years,22600
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,15 to 19 years,2400
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,20 to 24 years,1995
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,25 to 29 years,2010
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,30 to 34 years,2555
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,35 to 39 years,2715
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,40 to 44 years,2600
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,45 to 49 years,2715
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,50 to 54 years,2465
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,55 to 59 years,1815
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,60 to 64 years,1335
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,65 years and over,2730
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,65 to 69 years,950
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,70 to 74 years,775
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,75 to 79 years,570
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,80 to 84 years,305
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,85 years and over,135
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,85 to 89 years,95
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,90 to 94 years,25
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,95 to 99 years,15
2021,Riverside South Findlay Creek,Demographics,Age,Age groups of the population,100 years and over,0
2021,Riverside South Findlay Creek,Demographics,Age,Distribution (%) of the population by broad age groups,0 to 14 years,23.2
2021,Riverside South Findlay Creek,Demographics,Age,Distribution (%) of the population by broad age groups,15 to 64 years,68.5
2021,Riverside South Findlay Creek,Demographics,Age,Distribution (%) of the population by broad age groups,65 years and over,8.3
2021,Riverside South Findlay Creek,Demographics,Age,Distribution (%) of the population by broad age groups,85 years and over,0.4
2021,Riverside South Findlay Creek,Demographics,Age,Average age of the population, ,34.7
2021,Riverside South Findlay Creek,Demographics,Age,Median age of the population, ,34.8
2021,Rideau Jock,Demographics,Age,Age groups of the population,0 to 14 years,4790
2021,Rideau Jock,Demographics,Age,Age groups of the population,0 to 4 years,1295
2021,Rideau Jock,Demographics,Age,Age groups of the population,5 to 9 years,1585
2021,Rideau Jock,Demographics,Age,Age groups of the population,10 to 14 years,1920
2021,Rideau Jock,Demographics,Age,Age groups of the population,15 to 64 years,16810
2021,Rideau Jock,Demographics,Age,Age groups of the population,15 to 19 years,1695
2021,Rideau Jock,Demographics,Age,Age groups of the population,20 to 24 years,1295
